id,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
104037,santa rita,santarita.com.br,1967.0,retail,201 - 500,"florianópolis, santa catarina, brazil",brazil,linkedin.com/company/santa-rita-engenharia,128,278
1034388,almeida advogados,almeidalaw.com.br,2001.0,law practice,201 - 500,"recife, pernambuco, brazil",brazil,linkedin.com/company/almeida-advogados,103,323
1552497,nssa,,,computer hardware,501 - 1000,,,linkedin.com/company/nssa,224,247
1736739,canisius college,canisius.edu,1870.0,higher education,1001 - 5000,"buffalo, new york, united states",united states,linkedin.com/company/canisius-college,751,2433
953876,perkons sa,perkons.com,,electrical/electronic manufacturing,201 - 500,"pinhais, parana, brazil",brazil,linkedin.com/company/perkons-sa,101,312
3391147,gs1,gs1.org,2005.0,non-profit organization management,501 - 1000,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,linkedin.com/company/gs1,235,686
6343825,younkers,younkers.com,,retail,201 - 500,"milwaukee, wisconsin, united states",united states,linkedin.com/company/younkers,171,846
2048466,access: supports for living,accesssupports.org,1963.0,non-profit organization management,501 - 1000,"middletown, new york, united states",united states,linkedin.com/company/occupations-inc-,275,454
2025983,thomas jefferson university hospitals,jeffersonhospital.org,,hospital & health care,5001 - 10000,"philadelphia, pennsylvania, united states",united states,linkedin.com/company/thomas-jefferson-university-hospitals,3780,8426
3207901,id logistics,id-logistics.com.br,2002.0,logistics and supply chain,1001 - 5000,"barueri, sao paulo, brazil",brazil,linkedin.com/company/id-logistics,837,2021
1704473,miami-dade county,miamidade.gov,1836.0,government administration,5001 - 10000,"miami, florida, united states",united states,linkedin.com/company/miami-dade-county,4051,6069
7002413,tafe queensland east coast,tafeeastcoast.edu.au,1980.0,education management,201 - 500,"mountain creek, queensland, australia",australia,linkedin.com/company/tafeeastcoast,202,357
3028112,marsh canada limited,,1914.0,insurance,1001 - 5000,"toronto, ontario, canada",canada,linkedin.com/company/marsh-canada-limited,627,1338
990117,proterra inc,proterra.com,2004.0,transportation/trucking/railroad,201 - 500,"greenville, south carolina, united states",united states,linkedin.com/company/proterra-inc,228,455
2358558,spielo,spielo.com,,gambling & casinos,201 - 500,,,linkedin.com/company/spielo,116,462
1092934,saham assurance,sahamassurance.com,,insurance,1001 - 5000,"casablanca, north carolina, united states",united states,linkedin.com/company/saham-assurance,725,1337
4136845,plow & hearth,plowandhearth.com,1980.0,retail,201 - 500,"madison, virginia, united states",united states,linkedin.com/company/plow-&-hearth,168,438
3313304,izettle,izettle.com,2010.0,financial services,1001 - 5000,"stockholm, stockholms lan, sweden",sweden,linkedin.com/company/izettle,398,691
4720617,ista,ista.com,1902.0,utilities,1001 - 5000,"essen, north rhine-westphalia, germany",germany,linkedin.com/company/ista,425,896
5096215,sazeh consultants,sazeh.com,1970.0,oil & energy,1001 - 5000,"tehran, tehrān, iran",iran,linkedin.com/company/sazeh-consultants,374,1056
4977898,stanlib,stanlib.com,2002.0,financial services,1001 - 5000,"johannesburg, gauteng, south africa",south africa,linkedin.com/company/stanlib,692,1482
7111271,adarsh developers,adarshdevelopers.com,1988.0,construction,501 - 1000,"bangalore, karnataka, india",india,linkedin.com/company/adarsh-developers,256,461
3552753,farrow & ball,farrow-ball.com,1946.0,retail,201 - 500,"wimborne minster, dorset, united kingdom",united kingdom,linkedin.com/company/farrow-&-ball,208,422
3456899,hdt global,hdtglobal.com,1932.0,defense & space,201 - 500,"solon, ohio, united states",united states,linkedin.com/company/hdt-global,250,451
